"PER TESSERATI
(tutte le quote di questo foglio 
sono calcolate senza i €25,00 per Quota Tessera)",ISCRIZIONI FATTE:, SETTEMBRE - OTTOBRE (2025),, NOVEMBRE (2025),, DICEMBRE (2025),, GENNAIO (2026),, FEBBRAIO (2026),, MARZO (2026),, APRILE (2026),, MAGGIO (2026),, GIUGNO (2026),, LUGLIO (2025),,, SETTEMBRE - OTTOBRE (2025) Q1C,NOVEMBRE (2025) Q1C,DICEMBRE (2025) Q1C,GENNAIO (2026) Q1C,FEBBRAIO (2026) Q1C,MARZO (2026) Q1C,APRILE (2026) Q1C,MAGGIO (2026) Q1C,GIUGNO (2026) Q1C,LUGLIO (2025) Q1C,,
Descrizione Quote,Dettagli, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni, Quota,numero lezioni,numero corsi a settimana," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa"," 1 corso
costa", costo a lezione, codice quota
,OPEN,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 OPEN BALLO,"SOLO 30 POSTI
periodo Settembre -> Luglio"," € 1.300,00 ",4.284," € 1.200,00 ",," € 1.000,00 ",," € 840,00 ",," € 720,00 ",," € 600,00 ",," € 480,00 ",," € 360,00 ",," € 240,00 ",," € 120,00 ",,17," € 76,47 "," € 70,59 "," € 58,82 "," € 49,41 "," € 42,35 "," € 35,29 "," € 28,24 "," € 21,18 "," € 14,12 "," € 7,06 "," € 0,30 ",
1 OPEN DANZA,"SOLO 30 POSTI
periodo Settembre -> Luglio"," € 1.300,00 ",," € 1.200,00 ",," € 1.000,00 ",," € 840,00 ",," € 720,00 ",," € 600,00 ",," € 480,00 ",," € 360,00 ",," € 240,00 ",," € 120,00 ",,30," € 43,33 "," € 40,00 "," € 33,33 "," € 28,00 "," € 24,00 "," € 20,00 "," € 16,00 "," € 12,00 "," € 8,00 "," € 4,00 ", ,
1 OPEN FITNESS,"SOLO 30 POSTI 
periodo Settembre -> Luglio"," € 950,00 ",," € 865,00 ",," € 775,00 ",," € 600,00 ",," € 515,00 ",," € 430,00 ",," € 345,00 ",," € 260,00 ",," € 170,00 ",," € 85,00 ",,40," € 23,75 "," € 21,63 "," € 19,38 "," € 15,00 "," € 12,88 "," € 10,75 "," € 8,63 "," € 6,50 "," € 4,25 "," € 2,13 ", ,
2 OPEN (Danza + Ballo),"SOLO 10 POSTI
1300 + 650  (50% del secondo open)
periodo Settembre -> Luglio"," € 1.950,00 ",," € 1.750,00 ",," € 1.590,00 ",," € 1.240,00 ",," € 1.060,00 ",," € 885,00 ",," € 700,00 ",," € 530,00 ",," € 350,00 ",," € 175,00 ",,30," € 65,00 "," € 58,33 "," € 53,00 "," € 41,33 "," € 35,33 "," € 29,50 "," € 23,33 "," € 17,67 "," € 11,67 "," € 5,83 ", ,
2 OPEN (Danza + Fitness),"SOLO 10 POSTI
1300 + 475 (50% del secondo open più basso di prezzo)
periodo Settembre -> Luglio"," € 1.775,00 ",," € 1.600,00 ",," € 1.440,00 ",," € 1.120,00 ",," € 960,00 ",," € 800,00 ",," € 640,00 ",," € 480,00 ",," € 320,00 ",," € 160,00 ",,45," € 39,44 "," € 35,56 "," € 32,00 "," € 24,89 "," € 21,33 "," € 17,78 "," € 14,22 "," € 10,67 "," € 7,11 "," € 3,56 ", ,
2 OPEN (Ballo + Fitness),"SOLO 10 POSTI
1300 + 475 (50% del secondo open più basso di prezzo)
periodo Settembre -> Luglio"," € 1.775,00 ",," € 1.600,00 ",," € 1.440,00 ",," € 1.120,00 ",," € 960,00 ",," € 800,00 ",," € 640,00 ",," € 480,00 ",," € 320,00 ",," € 160,00 ",,45," € 39,44 "," € 35,56 "," € 32,00 "," € 24,89 "," € 21,33 "," € 17,78 "," € 14,22 "," € 10,67 "," € 7,11 "," € 3,56 ", ,
1 OPEN MATTINO (ore 14),"SOLO 60 POSTI
fino alle ore 14.00
periodo Settembre -> Giugno"," € 580,00 ",," € 540,00 ",," € 480,00 ",," € 420,00 ",," € 360,00 ",," € 300,00 ",," € 240,00 ",," € 180,00 ",," € 120,00 ",,,,20," € 29,00 "," € 27,00 "," € 24,00 "," € 21,00 "," € 18,00 "," € 15,00 "," € 12,00 "," € 9,00 "," € 6,00 ", , ,
1 OPEN MATTINO (ore 11),"SOLO 30 POSTI
fino alle ore 11.00 (ultimo corso quello delle 10)
periodo Settembre -> Giugno"," € 300,00 ",," € 270,00 ",," € 240,00 ",," € 210,00 ",," € 180,00 ",," € 150,00 ",," € 120,00 ",," € 90,00 ",," € 60,00 ",,,,5," € 60,00 "," € 54,00 "," € 48,00 "," € 42,00 "," € 36,00 "," € 30,00 "," € 24,00 "," € 18,00 "," € 12,00 ", , ,
