AGEVOLAZIONI ad AZIENDE - ENTI,,,
AZIENDA - ENTI,CORSO,TIPO DI AGEVOLAZIONE,DECISO DA
,,,
Modulo Academy,tutti i corsi tranne Aereal,gratis solo se c'è posto,Direzione
"Polizia, Carabinieri, Finanza, ...
esteso anche a mogli/mariti e figli","qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN",-20 %,Direzione
,,,
Posta (dipendenti),"qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN",-20%,Direzione
Avvocati e dipendenti 4° piano,"Qualsiasi corso, NO ABBONAMENTI OPEN",-30%,Direzione
Scuola Leonardo Da Vinci,,"

• ⁠€ 50 per openfitness/openballo/opendanza x un mese - TESSERA ESCLUSA

• ⁠ -20% agli studenti su abbonamenti stagionali (tessera a parte)

• ⁠-30% agli insegnanti su abbonamenti stagionali (tessera a parte)

Niente di tutto questo come sempre è cumulabile a promozioni già attive. NO ABBONAMENTI OPEN
",Direzione
"Bocconi 
Studenti e dipendenti","qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN","-20% attività
 -10% abbigliamento Adidas",Direzione
"UNIMI 
(Università degli Studi di Milano)
Studenti e dipendenti","qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN","- 20% attività
- 10% abbigliamento adidas
",Direzione
"Istituto Marangoni 
Studenti e dipendenti","qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN","- 20% attività
- 10% abbigliamento adidas
",Direzione
"Credit Agricol 
dipendenti","qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN",-20%,Direzione
"Bicocca 
Studenti e dipendenti (Docenti, Ricercatori, e Personale Tecnico Amministrativo);

● Personale Collaboratore (Professori a contratto, Assegnisti);
● Dottorandi e Specializzandi;
● Studenti regolarmente iscritti ad un corso di studi universitario;
● Alumni (ex Studenti) regolarmente iscritti all'Associazione ""Bicocca
Alumni"" in qualità di soci sostenitori.","qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN","- 20% attività
- 10% abbigliamento adidas
",Direzione
Avvale Spa (ex Techedge),"qualsiasi iscrizione annuale, no con sconti già attivi, NO ABBONAMENTI OPEN","- 20% attività
- 10% abbigliamento adidas
",Direzione
