"PER TESSERATI
(tutte le quote di questo foglio 
sono calcolate senza i €25,00 per Quota Tessera)",ISCRIZIONI FATTE:, PROMO dal 20 Maggio al 14 Giugno,,"PROMO
dal 15 Giugno al 15 Luglio",,PROMO OTTOBRE,,,,"PROMO
OTTOBRE - NOVEMBRE",,,,"PROMO
NOVEMBRE",,,,"PROMO
GENNAIO",,,,"PROMO
FEBBRAIO",,,,"PROMO
MARZO",,,,CODICI SCONTO PROMO,CONDICI SCONTO,VALORE SCONTO
Descrizione Quote,Dettagli,2526PRIMAVERA,,2526ESTATE,,2526AUTUNNO-ISCR,,2526AUTUNNO-NO-ISCR,,2526HALLOWEEN-ISCR,,2526HALLOWEEN-NO-ISCR,,2526BLACKFRIDAY-ISCR,,2526BLACKFRIDAY-NO-ISCR,,2526NEWYEAR-ISCR,,2526NEWYEAR-NO-ISCR,,,,,,2526SPRING-ISCR,,2526SPRING-NO-ISCR,,,,
,OPEN,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526PRIMAVERA,2425OPENPAGATO100,100%
1 OPEN BALLO,"SOLO 30 POSTI
periodo Settembre -> Luglio"," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 600,00 ",0," € 600,00 ",0,2526ESTATE,2526ALEXANDRA05,5%
1 OPEN DANZA,"SOLO 30 POSTI
periodo Settembre -> Luglio"," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 1.300,00 ",0," € 600,00 ",0," € 600,00 ",0,2526AUTUNNO-ISCR,2526ALEXANDRA10,10%
1 OPEN FITNESS,"SOLO 30 POSTI 
periodo Settembre -> Luglio"," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 950,00 ",0," € 430,00 ",0," € 430,00 ",0,2526AUTUNNO-NO-ISCR,2526AVV4PIANO30,30%
2 OPEN (Danza + Ballo),"SOLO 10 POSTI
1300 + 650  (50% del secondo open)
periodo Settembre -> Luglio"," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 1.950,00 ",0," € 885,00 ",0," € 885,00 ",0,2526HALLOWEEN-ISCR,2526AVVALE20,20%
2 OPEN (Danza + Fitness),"SOLO 10 POSTI
1300 + 475 (50% del secondo open più basso di prezzo)
periodo Settembre -> Luglio"," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 800,00 ",0," € 800,00 ",0,2526HALLOWEEN-NO-ISCR,2526BICOCCA20,20%
2 OPEN (Ballo + Fitness),"SOLO 10 POSTI
1300 + 475 (50% del secondo open più basso di prezzo)
periodo Settembre -> Luglio"," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 1.775,00 ",0," € 800,00 ",0," € 800,00 ",0,2526BLACKFRIDAY-ISCR,2526BOCCONI20,20%
1 OPEN MATTINO (ore 14),"SOLO 60 POSTI
fino alle ore 14.00
periodo Settembre -> Giugno"," € 493,00 ",15%," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 300,00 ",0," € 300,00 ",0,2526BLACKFRIDAY-NO-ISCR,2526CREDITAGRICOL20,20%
1 OPEN MATTINO (ore 11),"SOLO 30 POSTI
fino alle ore 11.00 (ultimo corso quello delle 10)
periodo Settembre -> Giugno"," € 270,00 ",10%," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 300,00 ",0," € 150,00 ",0," € 150,00 ",0,2526NEWYEAR-ISCR,2526DIREZIONE20,20%
1 OPEN VENERDI,"SOLO 50 POSTI
periodo Settembre -> Giugno"," € 451,20 ",6%," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 250,00 ",0," € 250,00 ",0,2526NEWYEAR-NO-ISCR,2526DIREZIONE30,30%
1 OPEN SABATO,"SOLO 50 POSTI
periodo Settembre -> Giugno"," € 451,20 ",6%," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 480,00 ",0," € 250,00 ",0," € 250,00 ",0,,2526DOPOPROVA05,5%
1 OPEN VENERDI + SABATO,"SOLO 50 POSTI
periodo Settembre -> Giugno"," € 639,20 ",6%," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 350,00 ",0," € 350,00 ",0,,2526ELISA100,100%
1 OPEN BAMBINI e RAGAZZI,"SOLO 50 POSTI
(fino a 17 anni) 
periodo Settembre -> Maggio"," € 705,00 ",6%," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 750,00 ",0," € 320,00 ",0," € 320,00 ",0,2526SPRING-ISCR,2526ELISA20,20%
1 CORSO (no Aereal) per INSEGNANTI,da settembre a luglio (è obbligatorio per tutti tessera + €25 e certificato medico)," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 150,00 ",0," € 100,00 ",0," € 100,00 ",0,2526SPRING-NO-ISCR,2526ELISA30,30%
1 OPEN LEONARDO V. 1 MESE,," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0," € 50,00 ",0, € -   ,0, € -   ,0,,2526ELISA40,40%
2 OPEN LEONARDO V. 1 MESE,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,2526ELISA55,55%
1 OPEN 1 MESE,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,2526STAFF60,60%
2 OPEN 1 MESE,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,2526STAFF70,70%
,CORSI ADULTI (Da 18 anni in su),CORSI ADULTI (Da 18 anni in su),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526ELISA50,50%
1 CORSO Adulti,periodo Settembre -> Giugno," € 312,00 ",20%," € 351,00 ",10%," € 195,00 ",50%," € 292,50 ",25%," € 390,00 ",," € 390,00 ",0," € 156,00 ",60%," € 253,50 ",35%," € 117,00 ",70%," € 234,00 ",40%," € 390,00 ",," € 390,00 ",0," € 126,00 ",40%," € 126,00 ",40%,,2526ELISA70,70%
2 CORSI Adulti,"390 + 390 = 780 sconto 100 €
periodo Settembre -> Giugno"," € 612,00 ",10%," € 646,00 ",5%," € 680,00 ",0," € 510,00 ",25%," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 442,00 ",35%," € 680,00 ",0," € 408,00 ",40%," € 680,00 ",0," € 680,00 ",0," € 192,00 ",40%," € 192,00 ",40%,,2526ELISA80,80%
3 CORSI Adulti,"390 x 3 = 1170 sconto 210 €
periodo Settembre -> Giugno"," € 864,00 ",10%," € 912,00 ",5%," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 480,00 ",0," € 480,00 ",0,,2526ESTEFANY05,5%
4 CORSI Adulti,"390 x 4 = 1560 sconto 500 €
periodo Settembre -> Giugno"," € 1.007,00 ",5%," € 1.007,00 ",5%," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 1.060,00 ",0," € 520,00 ",0," € 520,00 ",0,,2526ESTEFANY10,10%
5 CORSI Adulti,"390 x 5 = 1950 sconto 790 €
periodo Settembre -> Giugno"," € 1.102,00 ",5%," € 1.102,00 ",5%," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 1.160,00 ",0," € 550,00 ",0," € 550,00 ",0,,2526FORZEORDINE20,20%
1 CORSO Adulti VENERDI O SABATO,"solo di venerdi o solo di sabato
periodo Settembre -> Giugno"," € 248,00 ",20%," € 279,00 ",10%," € 155,00 ",50%," € 232,50 ",25%," € 124,00 ",60%," € 217,00 ",30%," € 124,00 ",60%," € 201,50 ",35%," € 93,00 ",70%," € 186,00 ",40%," € 310,00 ",0," € 310,00 ",0," € 90,00 ",40%," € 90,00 ",40%,,2526GAE07,7%
2 CORSO Adulti VENERDI O SABATO,"solo di venerdi o solo di sabato
310 + 310 = 620 sconto 100 €
periodo Settembre -> Giugno"," € 468,00 ",10%," € 494,00 ",5%," € 520,00 ",0," € 390,00 ",25%," € 520,00 ",0," € 364,00 ",30%," € 520,00 ",0," € 338,00 ",35%," € 520,00 ",0," € 520,00 ",0," € 520,00 ",0," € 520,00 ",0," € 150,00 ",40%," € 150,00 ",40%,,2526GAE10,10%
1 CORSO Adulti MATTINO,"FINO ALLE ORE 11 (ultimo corso quello delle 10)
periodo Settembre -> Giugno"," € 234,00 ",10%," € 247,00 ",5%," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 260,00 ",0," € 125,00 ",0," € 125,00 ",0,,2526GAE20,20%
1 CORSO Adulti Quadrimestre,Quadrimestre," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0," € 280,00 ",0, € -   ,0, € -   ,0,,2526GAE30,30%
,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,,,2526GIUDITTA05,5%
,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,,,2526GIUDITTA10,10%
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,2526STAFF100,100%
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,2526MODULO70,70%
,"AEREAL (CERCHIO, TESSUTI E POLE DANCE)","AEREAL (CERCHIO, TESSUTI E POLE DANCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526HELLOGEM,€30
1 CORSO Adulti AERIAL Quadrimestre,Quadrimestre," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0, € -   ,0, € -   ,0,,2526JOEL05,5%
1 CORSO Adulti AERIAL,periodo Settembre -> Giugno," € 522,00 ",10%," € 551,00 ",5%," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 580,00 ",0," € 255,00 ",0," € 255,00 ",0,,2526JOEL10,10%
2 CORSI Adulti AERIAL,"BISETTIMANALE
580 + 580 = 1160 sconto 200 €
periodo Settembre -> Giugno"," € 864,00 ",10%," € 912,00 ",5%," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 460,00 ",0," € 460,00 ",0,,2526FRATELLI,€50
3 CORSI Adulti AERIAL,"580 x 3 = 1740 sconto 390 €
periodo Settembre -> Giugno"," € 1.215,00 ",10%," € 1.282,50 ",5%," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 1.350,00 ",0," € 600,00 ",0," € 600,00 ",0,,2526MARANGONI20,20%
