"PER TESSERATI
(tutte le quote sono + €25,00 per iscrizione)","ISCRIZIONE
ANNUALE
Set-Ott-Nov","APP PAGO
Set-Ott-Nov"
DESCRIZIONE PACCHETTI LEZIONI,"QUOTE
ISCRIZIONE",
"LEZIONE INDIVIDUALE SINGOLA 
periodo Settembre -> Luglio",€ 55,
"LEZIONE INDIVIDUALE COPPIA 
periodo Settembre -> Luglio",€ 75,
"10 LEZIONI INDIVIDUALI SINGOLA
periodo Settembre -> Luglio",€ 500,€ 550
"10 LEZIONI INDIVIDUALI COPPIA
periodo Settembre -> Luglio",€ 700,€ 750
"LEZIONE INDIVIDUALE SINGOLA Aereal Pole o cerchio e tessuto
periodo Settembre -> Luglio",€ 70,
"10 LEZIONI INDIVIDUALI SINGOLA
periodo Settembre -> Luglio",€ 650,
"LEZIONE INDIVIDUALE SINGOLA a domicilio 
(Il preventivo dipende dalla zona)
periodo Settembre -> Luglio",€ 65,
"LEZIONE INDIVIDUALE COPPIA a domicilio 
(Il preventivo dipende dalla zona)
periodo Settembre -> Luglio",€ 85,
"10 LEZIONE INDIVIDUALE SINGOLA a domicilio 
(Il preventivo dipende dalla zona)
periodo Settembre -> Luglio",€ 600,
"10 LEZIONE INDIVIDUALE COPPIA a domicilio 
(Il preventivo dipende dalla zona)
periodo Settembre -> Luglio",€ 800,
IMPORTO PAGODIL,NUMERO DI RATE,
DA 0 A 350 —> + 25€,DA 3 A 6 MESI,
DA 350 A 1000 —> + 50€,DA 3 A 6 MESI,
DA 1000 A 1500 ––> + 100€,DA 3 A 6 MESI,
