TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
staff_contracts_compliance	member_id	members	id
user_session_segments	user_id	users	id
courses	studio_id	studios	id
courses	quote_id	quotes	id
members	category_id	cli_cats	id
members	subscription_type_id	sub_types	id
provinces	country_id	countries	id
staff_document_signatures	member_id	members	id
staff_presenze	member_id	members	id
staff_presenze	course_id	courses	id
team_profile_change_requests	employee_id	team_employees	id
team_profile_change_requests	reviewed_by	users	id
agreement_monthly_overrides	season_id	seasons	id
agreement_monthly_overrides	agreement_id	instructor_agreements	id
member_packages	member_id	members	id
team_leave_requests	employee_id	team_employees	id
team_leave_requests	approved_by	users	id
custom_list_items	list_id	custom_lists	id
team_monthly_reports	employee_id	team_employees	id
gem_conversations	participant_id	members	id
payments	enrollment_id	enrollments	id
payments	member_id	members	id
payments	payment_method_id	payment_methods	id
instructor_agreements	member_id	members	id
instructor_agreements	season_id	seasons	id
instructor_agreements	studio_id	studios	id
team_documents	member_id	members	id
gem_messages	conversation_id	gem_conversations	id
memberships	member_id	members	id
team_scheduled_shifts	employee_id	team_employees	id
team_scheduled_shifts	template_id	team_shift_templates	id
team_scheduled_shifts	created_by_user_id	users	id
team_shift_templates	employee_id	team_employees	id
carnet_wallets	member_id	members	id
carnet_wallets	payment_id	payments	id
carnet_wallets	wallet_type_id	custom_list_items	id
cities	province_id	provinces	id
carnet_sessions	instructor_id	members	id
carnet_sessions	wallet_id	carnet_wallets	id
staff_disciplinary_log	member_id	members	id
member_uploads	member_id	members	id
journal_entries	cost_center_id	cost_centers	id
journal_entries	payment_id	payments	id
journal_entries	period_id	accounting_periods	id
team_checkin_events	employee_id	team_employees	id
team_shift_diary_entries	employee_id	team_employees	id
team_shift_diary_entries	shift_id	team_scheduled_shifts	id
team_shift_diary_entries	activity_type_id	team_activity_types	id
company_agreements	promo_rule_id	promo_rules	id
access_logs	member_id	members	id
team_document_versions	document_id	team_documents	id
team_document_versions	uploaded_by	users	id
accounting_periods	season_id	seasons	id
staff_sostituzioni	absent_member_id	members	id
staff_sostituzioni	substitute_member_id	members	id
staff_sostituzioni	course_id	courses	id
member_relationships	member_id	members	id
member_relationships	related_member_id	members	id
payslips	member_id	members	id
member_forms_submissions	member_id	members	id
member_forms_submissions	season_id	seasons	id
team_maintenance_tickets	employee_id	team_employees	id
team_maintenance_tickets	risolto_da	users	id
medical_certificates	member_id	members	id
team_employees	member_id	members	id
team_employees	user_id	users	id
team_attendance_logs	employee_id	team_employees	id
team_attendance_logs	modified_by_admin	users	id
studio_bookings	member_id	members	id
studio_bookings	season_id	seasons	id
studio_bookings	service_id	booking_services	id
studio_bookings	studio_id	studios	id
team_note_reactions	note_id	team_notes	id
price_list_items	quote_id	quotes	id
price_list_items	price_list_id	price_lists	id
enrollments	course_id	courses	id
enrollments	member_id	members	id
member_discounts	company_agreement_id	company_agreements	id
member_discounts	member_id	members	id
member_discounts	payment_id	payments	id
member_discounts	promo_rule_id	promo_rules	id
member_discounts	valid_for_season_id	seasons	id
attendances	course_id	courses	id
attendances	enrollment_id	enrollments	id
attendances	member_id	members	id
promo_rules	member_id	members	id
team_document_alerts	document_id	team_documents	id
team_document_alerts	employee_id	team_employees	id
team_employee_activity_log	employee_id	team_employees	id
team_employee_activity_log	eseguita_da	users	id
team_handover_notes	employee_id	team_employees	id
team_handover_notes	shift_id	team_scheduled_shifts	id
