tableName	rowCount	columns
access_logs	0	id, member_id, barcode, access_time, access_type, membership_status, notes
accounting_periods	30	id, tenant_id, season_id, year, month, label, is_closed, closed_at, notes, created_at
activities	1274	id, tenant_id, category_id, location_id, name, start_time, end_time, instructor_id, max_capacity, base_price, is_punch_card, punch_card_total_accesses, extra_info_overrides, created_at, updated_at
activity_details	428	id, type, name, description, sku, active, category_id, instructor_id, studio_id, day_of_week, start_date, end_date, start_time, end_time, price, max_capacity, current_enrollment, extra_info, created_at, updated_at
act_statuses	12	id, name, color, sort_order, active, created_at
agreement_monthly_overrides	3	id, agreement_id, season_id, month, override_amount, notes
attendances	0	id, member_id, course_id, enrollment_id, attendance_date, type, notes, created_at, updated_at, season_id
audit_logs	0	id, action, entity_type, entity_id, performed_by, details, created_at
booking_services	3	id, name, description, price, color, active, created_at, category_id
booking_service_categories	3	id, name, description, color, active, created_at, icon, sort_order, parent_id, updated_at
carnet_sessions	0	id, wallet_id, session_number, session_date, session_time_start, session_time_end, instructor_id, is_bonus, notes, created_at
carnet_wallets	0	id, member_id, wallet_type_id, total_units, used_units, expiry_days, payment_id, trial_date, purchased_at, expires_at, is_active, notes, created_at, updated_at, group_size, location_type, price_per_unit, total_paid, bonus_units
categories	5	id, name, description, parent_id, color, created_at, updated_at
cities	8062	id, name, province_id, postal_code, istat_code
cli_cats	6	id, name, description, parent_id, color, created_at, updated_at
company_agreements	11	id, tenant_id, company_name, company_type, discount_courses, discount_merch, discount_other, exclude_open, exclude_other_promos, eligible_who, special_rules, promo_rule_id, valid_from, valid_to, is_active, approved_by, requires_verification, verification_notes, metadata, notes, created_at, updated_at
cost_centers	7	id, tenant_id, code, label, description, is_active, created_at
countries	0	id, code, name, is_default
courses	409	id, sku, name, description, category_id, studio_id, instructor_id, secondary_instructor1_id, secondary_instructor2_id, price, max_capacity, current_enrollment, day_of_week, start_time, end_time, recurrence_type, schedule, start_date, end_date, status_tags, active, created_at, updated_at, season_id, google_event_id, quote_id, level, age_group, lesson_type, number_of_people, activity_type
course_quotes_grid	9	id, activity_type, category, description, details, corsi_week, months_data, sort_order, created_at, updated_at
custom_lists	17	id, name, system_name, description, created_at, system_code, linked_activities
custom_list_items	235	id, list_id, value, sort_order, active, color
custom_reports	0	id, name, description, entity_type, selected_fields, filters, sort_field, sort_direction, created_by, created_at, updated_at
deprecation_logs	1	id, table_name, operation, triggered_at, note
enrollments	0	id, member_id, course_id, status, enrollment_date, notes, created_at, season_id, online_source, pending_medical_cert, pending_membership, completion_notes, details, participation_type, target_date
enroll_details	13	id, name, color, sort_order, active, created_at
express_sessions	150	session_id, expires, data
